date,total_value,cash,n_positions,gross_value
2023-08-09,1395273.7334670513,-3177.7756202483206,10,1398451.5090872997
2023-08-10,1389552.0456371296,-3177.7756202483206,10,1392729.821257378
2023-08-11,1380104.7861045757,-3177.7756202483206,10,1383282.5617248241
2023-08-14,1377548.2035433678,-3177.7756202483206,10,1380725.9791636162
2023-08-16,1379019.3931971495,-3177.7756202483206,10,1382197.168817398
2023-08-17,1370019.4460925725,-3177.7756202483206,10,1373197.221712821
2023-08-18,1357645.0631898495,-3177.7756202483206,10,1360822.838810098
2023-08-21,1370795.5844636532,-2706.1324173120793,10,1373501.7168809653
2023-08-22,1372589.3290966304,-2706.1324173120793,10,1375295.4615139426
2023-08-23,1381927.6747652132,-2706.1324173120793,10,1384633.8071825253
2023-08-24,1380394.6020257256,-2706.1324173120793,10,1383100.7344430378
2023-08-25,1372345.185171469,-2706.1324173120793,10,1375051.3175887812
2023-08-28,1378459.8380611727,-2706.1324173120793,10,1381165.9704784849
2023-08-29,1385492.3891086087,-2706.1324173120793,10,1388198.5215259208
2023-08-30,1385508.4946244597,-2706.1324173120793,10,1388214.6270417718
2023-08-31,1377136.1315841153,-2706.1324173120793,10,1379842.2640014275
2023-09-01,1400117.3028799498,-2706.1324173120793,10,1402823.435297262
2023-09-04,1403765.9753528347,-2706.1324173120793,10,1406472.1077701468
2023-09-05,1407268.0632689332,-2706.1324173120793,10,1409974.1956862453
2023-09-06,1404960.1308803307,-2706.1324173120793,10,1407666.2632976428
2023-09-07,1409471.605722131,-2706.1324173120793,10,1412177.738139443
2023-09-08,1411998.1125151867,-2706.1324173120793,10,1414704.2449324988
2023-09-11,1425488.4099943293,-2706.1324173120793,10,1428194.5424116415
2023-09-12,1415121.6572104795,-2706.1324173120793,10,1417827.7896277916
2023-09-13,1419396.2532549961,-2706.1324173120793,10,1422102.3856723083
2023-09-14,1424509.7080916709,-2706.1324173120793,10,1427215.840508983
2023-09-15,1424461.9931871807,-2706.1324173120793,10,1427168.1256044928
2023-09-18,1425834.74831077,-2778.6564549060727,10,1428613.404765676
2023-09-20,1417255.2942278336,-2778.6564549060727,10,1420033.9506827397
2023-09-21,1404104.947584064,-2778.6564549060727,10,1406883.60403897
2023-09-22,1399081.209033869,-2778.6564549060727,10,1401859.865488775
2023-09-25,1411326.3995894275,-2778.6564549060727,10,1414105.0560443336
2023-09-26,1405236.739906925,-2778.6564549060727,10,1408015.396361831
2023-09-27,1406604.0126258738,-2778.6564549060727,10,1409382.66908078
2023-09-28,1396367.060378405,-2778.6564549060727,10,1399145.7168333111
2023-09-29,1409516.5550500748,-2778.6564549060727,10,1412295.211504981
2023-10-03,1402756.6643576035,-2778.6564549060727,10,1405535.3208125096
2023-10-04,1391533.0036873792,-2778.6564549060727,10,1394311.6601422853
2023-10-05,1390764.7818269362,-2778.6564549060727,10,1393543.4382818423
2023-10-06,1404483.3895685023,-2778.6564549060727,10,1407262.0460234084
2023-10-09,1392048.468016755,-2778.6564549060727,10,1394827.1244716612
2023-10-10,1412757.0430885889,-2778.6564549060727,10,1415535.699543495
2023-10-11,1416278.0626164335,-2778.6564549060727,10,1419056.7190713396
2023-10-12,1417790.6239485128,-2778.6564549060727,10,1420569.280403419
2023-10-13,1414041.2908924138,-2778.6564549060727,10,1416819.94734732
2023-10-16,1411799.7401148886,-2778.6564549060727,10,1414578.3965697947
2023-10-17,1420460.440882477,-2778.6564549060727,10,1423239.097337383
2023-10-18,1403892.0462033718,-2320.7302654107475,10,1406212.7764687827
2023-10-19,1403067.6648197833,-2320.7302654107475,10,1405388.3950851941
2023-10-20,1395000.458610552,-2320.7302654107475,10,1397321.1888759627
2023-10-23,1371468.4383345582,-2320.7302654107475,10,1373789.168599969
2023-10-25,1366285.8384034121,-2320.7302654107475,10,1368606.568668823
2023-10-26,1342109.6853209983,-2320.7302654107475,10,1344430.4155864092
2023-10-27,1356525.0657670554,-2320.7302654107475,10,1358845.7960324662
2023-10-30,1365329.7895449938,-2320.7302654107475,10,1367650.5198104046
2023-10-31,1365631.4226319245,-2320.7302654107475,10,1367952.1528973354
2023-11-01,1358133.749012126,-2320.7302654107475,10,1360454.4792775367
2023-11-02,1370312.2602134265,-2320.7302654107475,10,1372632.9904788374
2023-11-03,1373452.5908322656,-2320.7302654107475,10,1375773.3210976764
2023-11-06,1385166.3407185606,-2320.7302654107475,10,1387487.0709839715
2023-11-07,1386027.5360892692,-2320.7302654107475,10,1388348.26635468
2023-11-08,1389955.580045588,-2320.7302654107475,10,1392276.310310999
2023-11-09,1382793.2077048249,-2320.7302654107475,10,1385113.9379702357
2023-11-10,1384105.5169521365,-2320.7302654107475,10,1386426.2472175474
2023-11-13,1386163.1041248788,-2320.7302654107475,10,1388483.8343902896
2023-11-15,1402748.1974621601,-2320.7302654107475,10,1405068.927727571
2023-11-16,1401700.3636175813,-2320.7302654107475,10,1404021.0938829922
2023-11-17,1391205.5603021502,-1857.4587657672919,10,1393063.0190679175
2023-11-20,1382160.5113237477,-1857.4587657672919,10,1384017.970089515
2023-11-21,1389057.9043901667,-1857.4587657672919,10,1390915.363155934
2023-11-22,1387779.5737570045,-1857.4587657672919,10,1389637.0325227717
2023-11-23,1390703.4889805925,-1857.4587657672919,10,1392560.9477463597
2023-11-24,1397069.297963985,-1857.4587657672919,10,1398926.7567297523
2023-11-28,1414253.4146610617,-1857.4587657672919,10,1416110.873426829
2023-11-29,1419511.981770471,-1857.4587657672919,10,1421369.4405362383
2023-11-30,1418194.5719995731,-1857.4587657672919,10,1420052.0307653404
2023-12-01,1431560.2594828424,-1857.4587657672919,10,1433417.7182486097
2023-12-04,1470769.0495392117,-1857.4587657672919,10,1472626.508304979
2023-12-05,1501427.6664913252,-1857.4587657672919,10,1503285.1252570925
2023-12-06,1504486.4154374718,-1857.4587657672919,10,1506343.874203239
2023-12-07,1502867.584180195,-1857.4587657672919,10,1504725.0429459622
2023-12-08,1496837.435258202,-1857.4587657672919,10,1498694.8940239693
2023-12-11,1504713.4530235433,-1857.4587657672919,10,1506570.9117893106
2023-12-12,1505715.9425619652,-1857.4587657672919,10,1507573.4013277325
2023-12-13,1516110.79001262,-1857.4587657672919,10,1517968.2487783872
2023-12-14,1529004.2216475776,-1857.4587657672919,10,1530861.6804133449
2023-12-15,1553929.6289013342,-1857.4587657672919,10,1555787.0876671015
2023-12-18,1559444.6593832553,-3100.4588489324133,10,1562545.1182321878
2023-12-19,1575644.3961576829,-3100.4588489324133,10,1578744.8550066154
2023-12-20,1546275.173354762,-3100.4588489324133,10,1549375.6322036944
2023-12-21,1563188.115372033,-3100.4588489324133,10,1566288.5742209656
2023-12-22,1574512.2024759443,-3100.4588489324133,10,1577612.6613248768
2023-12-26,1588726.1647370013,-3100.4588489324133,10,1591826.6235859338
2023-12-27,1600458.0871677028,-3100.4588489324133,10,1603558.5460166354
2023-12-28,1617078.8622607852,-3100.4588489324133,10,1620179.3211097177
2023-12-29,1625209.049111732,-3100.4588489324133,10,1628309.5079606646
2024-01-01,1631687.4185264232,-3100.4588489324133,10,1634787.8773753557
2024-01-02,1630872.3680975712,-3100.4588489324133,10,1633972.8269465037
2024-01-03,1623470.2816268073,-3100.4588489324133,10,1626570.7404757398
2024-01-04,1645552.8495862226,-3100.4588489324133,10,1648653.308435155
2024-01-05,1641220.255507388,-3100.4588489324133,10,1644320.7143563204
2024-01-08,1624235.4530224397,-3100.4588489324133,10,1627335.9118713723
2024-01-09,1621893.1563034537,-3100.4588489324133,10,1624993.6151523862
2024-01-10,1622747.068305551,-3100.4588489324133,10,1625847.5271544836
2024-01-11,1636914.6370636274,-3100.4588489324133,10,1640015.09591256
2024-01-12,1647235.6407710367,-3100.4588489324133,10,1650336.0996199693
2024-01-15,1658829.4663476322,-3100.4588489324133,10,1661929.9251965648
2024-01-16,1652889.0364668958,-4344.8306013346755,10,1657233.8670682304
2024-01-17,1606500.6048652679,-4344.8306013346755,10,1610845.4354666024
2024-01-18,1603486.7427898468,-4344.8306013346755,10,1607831.5733911814
2024-01-19,1620922.2590089876,-4344.8306013346755,10,1625267.0896103221
2024-01-23,1591964.4528817807,-4344.8306013346755,10,1596309.2834831153
2024-01-24,1609321.1327753619,-4344.8306013346755,10,1613665.9633766965
2024-01-25,1599250.8031707867,-4344.8306013346755,10,1603595.6337721213
2024-01-29,1621844.1762758703,-4344.8306013346755,10,1626189.0068772049
2024-01-30,1616030.3633795502,-4344.8306013346755,10,1620375.1939808847
2024-01-31,1635414.9578728029,-4344.8306013346755,10,1639759.7884741374
2024-02-01,1642721.1453320477,-4344.8306013346755,10,1647065.9759333823
2024-02-02,1668500.444182536,-4344.8306013346755,10,1672845.2747838707
2024-02-05,1672022.920352241,-4344.8306013346755,10,1676367.7509535756
2024-02-06,1698008.5340933136,-4344.8306013346755,10,1702353.3646946482
2024-02-07,1695582.1377395554,-4344.8306013346755,10,1699926.96834089
2024-02-08,1671031.8225668569,-4344.8306013346755,10,1675376.6531681914
2024-02-09,1669397.974346566,-4344.8306013346755,10,1673742.8049479006
2024-02-12,1652371.9516564605,-4344.8306013346755,10,1656716.782257795
2024-02-13,1665679.8225348983,-4344.8306013346755,10,1670024.6531362329
2024-02-14,1694929.0930270206,-4344.8306013346755,10,1699273.9236283551
2024-02-15,1710493.3745809621,-4459.628626777313,10,1714953.0032077394
2024-02-16,1723505.3964862588,-4459.628626777313,10,1727965.0251130362
2024-02-19,1741534.209309307,-4459.628626777313,10,1745993.8379360843
2024-02-20,1751269.559438549,-4459.628626777313,10,1755729.1880653263
2024-02-21,1739413.3425332748,-4459.628626777313,10,1743872.971160052
2024-02-22,1756722.9685832628,-4459.628626777313,10,1761182.59721004
2024-02-23,1757622.0114177482,-4459.628626777313,10,1762081.6400445255
2024-02-26,1750115.887015961,-4459.628626777313,10,1754575.5156427384
2024-02-27,1757563.175420651,-4459.628626777313,10,1762022.8040474283
2024-02-28,1727390.5647263587,-4459.628626777313,10,1731850.193353136
2024-02-29,1737734.0166619131,-4459.628626777313,10,1742193.6452886905
