date,ticker,side,shares,effective_price,notional_inr,cost_inr,meta_fold_id,meta_slip_bps
2024-09-12,WIPRO,buy,791.9235981483035,248.55881813049314,196839.5936053899,136.0878713571057,0,5.0
2024-09-12,POWERGRID,buy,616.4928138399632,319.28935615539547,196839.59360538993,136.0878713571057,0,5.0
2024-09-12,ADANIPORTS,buy,134.25126010825798,1466.2029499511718,196839.59360538993,136.0878713571057,0,5.0
2024-10-11,COALINDIA,sell,1.7526284160274346,437.526854675293,766.8219982790243,1.1828085472403747,0,5.0
2024-10-11,TATASTEEL,sell,85.37846756736187,156.92020365142824,13397.606518117285,20.6655567234083,0,5.0
2024-10-11,WIPRO,sell,4.803319565695568,247.4905726928711,1188.7763101408689,1.8336651576861223,0,5.0
2024-10-11,ASIANPAINT,sell,58.880408475848185,2998.103469848633,176529.55695754528,272.29353002202816,0,5.0
2024-10-11,ADANIENT,sell,65.81034756227412,3134.077685058594,206254.74174087355,318.1440699242843,0,5.0
2024-10-11,NESTLEIND,sell,158.16379521152368,1235.3923707885742,195394.3459392828,301.39211313461897,0,5.0
2024-10-11,KOTAKBANK,sell,538.9150366730036,375.8584245300293,202555.7566394581,312.4384547960169,0,5.0
2024-10-11,POWERGRID,sell,616.4928138399632,311.28361138916017,191904.109487569,296.0084888825212,0,5.0
2024-10-11,ADANIPORTS,sell,134.25126010825798,1400.731046813965,188049.90810753408,290.06345555624455,0,5.0
2024-10-11,BEL,buy,7.338879963330091,282.6059235076904,2074.0109495489855,1.4338971653298638,0,5.0
2024-10-11,ONGC,buy,733.8250376453292,265.73057720947264,194999.7508242563,134.81586970779244,0,5.0
2024-10-11,SBIN,buy,248.59751089986318,784.399450012207,194999.7508242563,134.81586970779244,0,5.0
2024-10-11,INFY,buy,104.88097191576185,1859.2481292114257,194999.7508242563,134.81586970779244,0,5.0
2024-10-11,TATACONSUM,buy,176.3963774272644,1105.4634662475585,194999.7508242563,134.81586970779244,0,5.0
2024-10-11,DRREDDY,buy,148.60771347893612,1312.1778557739258,194999.75082425633,134.81586970779244,0,5.0
2024-10-11,HDFCLIFE,buy,270.00212971581425,722.2156026306152,194999.75082425633,134.81586970779244,0,5.0
2024-11-08,BEL,sell,49.91995584161307,294.02521609497074,14677.72580378168,22.6401167073019,0,5.0
2024-11-08,SBIN,sell,20.789371336889552,826.1399460449219,17174.93011456578,26.492007510682544,0,5.0
2024-11-08,COALINDIA,sell,445.2408953712218,390.2381634368897,173749.98929666195,268.0060990480807,0,5.0
2024-11-08,TATASTEEL,sell,1241.4261770734636,144.13491248321534,178932.85338685627,276.00056967989013,0,5.0
2024-11-08,WIPRO,sell,787.120278582608,266.5571149749756,209812.51059727906,323.6318616437529,0,5.0
2024-11-08,INFY,sell,104.88097191576185,1776.461788635254,186317.03896327812,287.39053740877995,0,5.0
2024-11-08,TATACONSUM,sell,176.39637742726444,985.1521970214844,173777.27876910055,268.0481925473837,0,5.0
2024-11-08,DRREDDY,sell,148.60771347893612,1274.9224005737306,189463.30281233837,292.2435903739972,0,5.0
2024-11-08,HDFCLIFE,sell,270.00212971581425,706.1937845764161,190673.8258277033,294.11079941653674,0,5.0
2024-11-08,ADANIENT,buy,64.31630717302518,2929.1125059814453,188389.6996790522,130.24591620689372,0,5.0
2024-11-08,NTPC,buy,489.80865165202613,384.6189711914062,188389.69967905217,130.24591620689372,0,5.0
2024-11-08,ONGC,buy,56.13237807560893,238.48082938385008,13386.49607875906,9.254945729773544,0,5.0
2024-11-08,POWERGRID,buy,630.9803018487007,298.56668920898437,188389.69967905217,130.24591620689372,0,5.0
2024-11-08,RELIANCE,buy,147.26199896895793,1279.2825100708008,188389.69967905217,130.24591620689372,0,5.0
2024-11-08,KOTAKBANK,buy,539.9033246702537,348.93228300476073,188389.6996790522,130.24591620689372,0,5.0
2024-11-08,MARUTI,buy,16.83920550041043,11187.564619628905,188389.69967905217,130.24591620689372,0,5.0
2024-11-08,BAJAJ-AUTO,buy,19.481321443433544,9670.273149902343,188389.69967905217,130.24591620689372,0,5.0
2024-12-10,RELIANCE,sell,2.814055390218458,1279.0989001464845,3599.4551545797162,5.55209205239329,0,5.0
2024-12-10,KOTAKBANK,sell,24.305285358211087,358.3473785247803,8709.73529241167,13.434603299313649,0,5.0
2024-12-10,POWERGRID,sell,41.99017437146256,313.69491123962405,13172.104022392283,20.317723354039423,0,5.0
2024-12-10,BEL,sell,45.822532498755834,310.9113000793457,14246.743152116247,21.975334052075176,0,5.0
2024-12-10,ONGC,sell,789.9574157209381,238.83267236328126,188667.64064982318,291.0162964144461,0,5.0
2024-12-10,SBIN,sell,227.80813956297362,849.9986162109376,193636.60339011572,298.6808282266886,0,5.0
2024-12-10,MARUTI,sell,16.83920550041043,11072.756750488283,186456.426377529,287.6055398804404,0,5.0
2024-12-10,BAJAJ-AUTO,sell,19.481321443433544,8786.118415039064,171165.19708344684,264.019105548295,0,5.0
2024-12-10,ADANIENT,buy,10.646108602688951,2467.210527832031,26266.191224997332,18.159507378553627,0,5.0
2024-12-10,BAJFINANCE,buy,268.1529994900995,689.7109551086426,184948.06139356387,127.86649030139135,0,5.0
2024-12-10,ITC,buy,435.62214149213503,424.5607460632324,184948.06139356384,127.86649030139135,0,5.0
2024-12-10,NTPC,buy,28.17640786311742,357.05288790893553,10060.467798426112,6.955448456621017,0,5.0
2024-12-10,TITAN,buy,53.34444288332811,3467.0539497070313,184948.06139356384,127.86649030139135,0,5.0
2024-12-10,INFY,buy,97.67586771292947,1893.487774658203,184948.06139356387,127.86649030139135,0,5.0
2025-01-08,RELIANCE,sell,1.5031827628328607,1259.835587402344,1893.763138986615,2.9210941160650865,0,5.0
2025-01-08,KOTAKBANK,sell,5.647774585121618,353.1460010223389,1994.4890094112986,3.076461881640313,0,5.0
2025-01-08,ITC,sell,12.311059966594545,425.4244799346924,5237.426283733295,8.078631791790356,0,5.0
2025-01-08,BEL,sell,594.263398315966,278.5710024871826,165544.55061031858,255.34936380333593,0,5.0
2025-01-08,ADANIENT,sell,74.96241577571413,2512.7466602783206,188361.55988682059,290.54417257939986,0,5.0
2025-01-08,POWERGRID,sell,588.9901274772382,293.36551193237307,172789.39027047364,266.5243930704271,0,5.0
2025-01-08,BAJFINANCE,sell,268.1529994900995,730.6635992126465,195929.63574710308,302.217787621477,0,5.0
2025-01-08,TITAN,sell,53.34444288332811,3471.8596373291016,185204.4181224345,285.6743406338554,0,5.0
2025-01-08,INFY,sell,97.67586771292947,1876.6453143920899,183302.95947265072,282.7413763367487,0,5.0
2025-01-08,HINDALCO,buy,309.38089916224493,582.6703399658203,180267.0736937964,124.63022243351915,0,5.0
2025-01-08,NTPC,buy,54.77034423424352,314.73657431030273,17238.230518081844,11.917897482920932,0,5.0
2025-01-08,LTIM,buy,31.031145954234077,5809.2303120117185,180267.0736937964,124.63022243351915,0,5.0
2025-01-08,HDFCLIFE,buy,292.3543823982042,616.604657043457,180267.07369379638,124.63022243351915,0,5.0
2025-01-08,ONGC,buy,713.9284528603634,252.50019518280027,180267.07369379638,124.63022243351915,0,5.0
2025-01-08,INDUSINDBK,buy,183.65729314826578,981.5405127868652,180267.0736937964,124.63022243351915,0,5.0
2025-01-08,HINDUNILVR,buy,76.42775056345393,2358.659941772461,180267.0736937964,124.63022243351915,0,5.0
2025-02-04,ITC,sell,0.2784383592048973,430.72392239379883,119.93006222162687,0.184989871163286,0,5.0
2025-02-04,KOTAKBANK,sell,36.75449084097205,385.0632009429932,14152.801892254625,21.830431421018385,0,5.0
2025-02-04,RELIANCE,sell,142.9447608159066,1279.4473586425781,182890.2966577068,282.10485168599615,0,5.0
2025-02-04,HINDALCO,sell,309.38089916224493,579.4089421081543,179258.0594920659,276.5021939965112,0,5.0
2025-02-04,LTIM,sell,31.031145954234074,5823.551611328126,180711.48002313808,278.7440679004224,0,5.0
2025-02-04,HDFCLIFE,sell,292.3543823982042,623.8626562805176,182388.9815781939,281.3315825802074,0,5.0
