date,total_value
2024-04-03,1416744.8742238705
2024-04-04,1421796.8624636903
2024-04-05,1421736.7960996085
2024-04-08,1431373.5623387103
2024-04-09,1429886.3339647907
2024-04-10,1436899.1744760133
2024-04-12,1422096.8242654298
2024-04-15,1406505.1008923738
2024-04-16,1398636.6538767659
2024-04-18,1389034.669392635
2024-04-19,1398579.7943411565
2024-04-22,1410540.4011668414
2024-04-23,1412535.9118536592
2024-04-24,1414708.291464693
2024-04-25,1425314.2599398424
2024-04-26,1415816.4973810695
2024-04-29,1429927.4060371504
2024-04-30,1427492.9298682646
2024-05-02,1430230.4513278056
2024-05-03,1419346.598831555
2024-05-06,1417253.1565367684
2024-05-07,1408399.5964823065
2024-05-08,1408399.5964823065
2024-05-09,1386612.8971980829
2024-05-10,1392782.5885001405
2024-05-13,1395867.5574907258
2024-05-14,1403053.9367581357
2024-05-15,1401961.5183050085
2024-05-16,1414799.8094157171
2024-05-17,1418730.887764827
2024-05-21,1422706.2450147693
2024-05-22,1427047.7974083647
2024-05-23,1450403.7458716708
2024-05-24,1449737.465586722
2024-05-27,1448180.7970424162
2024-05-28,1445383.33255835
2024-05-29,1433798.4180221786
2024-05-30,1420154.9662857489
2024-05-31,1422810.3436005702
2024-06-03,1469111.8898222542
2024-06-04,1382002.9579292473
2024-06-05,1428471.7525897296
2024-06-06,1441168.07987075
2024-06-07,1470769.5734634448
2024-06-10,1468815.0115094308
2024-06-11,1469171.8328467794
2024-06-12,1472840.8146380372
2024-06-13,1477637.1199769503
2024-06-14,1481849.1658360774
2024-06-18,1487677.9466035923
2024-06-19,1485031.9430950754
2024-06-20,1488252.5855979607
2024-06-21,1484090.9856174975
2024-06-24,1486411.7427151648
2024-06-25,1497996.657251336
2024-06-26,1507311.260568504
2024-06-27,1518406.640404386
2024-06-28,1516265.8357198508
2024-07-01,1524560.544243194
2024-07-02,1523417.556571846
2024-07-03,1533688.904829841
2024-07-04,1534677.2246971673
2024-07-05,1536047.527171396
2024-07-08,1535839.2066602374
2024-07-09,1542952.9389287885
2024-07-10,1536085.3924152832
2024-07-11,1535548.6186648025
2024-07-12,1547307.1952967173
2024-07-15,1552646.441363943
2024-07-16,1554307.3318336066
2024-07-18,1566170.0070513224
2024-07-19,1549122.7535704027
2024-07-22,1547755.53458509
2024-07-23,1545848.4583603807
2024-07-24,1541708.9361605556
2024-07-25,1541241.6025804607
2024-07-26,1568317.1020532458
2024-07-29,1568396.039369493
2024-07-30,1569734.8902567793
2024-07-31,1575661.4792927068
2024-08-01,1579434.6830093225
2024-08-02,1560919.0721066482
2024-08-05,1519107.5791047497
2024-08-06,1515126.0548769757
2024-08-07,1534383.5532128166
2024-08-08,1522985.0047467228
2024-08-09,1538804.042922659
2024-08-12,1537509.4709362052
2024-08-13,1524374.3015126735
2024-08-14,1524674.2633144127
2024-08-16,1549770.0395636295
2024-08-19,1551759.2599330586
2024-08-20,1559728.722045552
2024-08-21,1564234.43938903
2024-08-22,1566842.57765366
2024-08-23,1567578.298108995
2024-08-26,1579415.6887176002
2024-08-27,1579867.2348344456
2024-08-28,1582052.1950802563
2024-08-29,1588341.895770921
2024-08-30,1593643.399933816
2024-09-02,1596346.1396383855
2024-09-03,1596418.7866372443
2024-09-04,1591294.1513985656
2024-09-05,1587909.3439457975
2024-09-06,1569409.6438459295
2024-09-09,1574730.01896099
2024-09-10,1581341.7592340317
2024-09-11,1573596.4050959463
2024-09-12,1603305.3274424716
2024-09-13,1601259.2475374332
2024-09-16,1602980.081031622
2024-09-17,1605177.7452517662
2024-09-18,1602588.6012788585
2024-09-19,1605004.0831560225
2024-09-20,1628694.6518364828
2024-09-23,1638047.2437370948
2024-09-24,1638132.4713707303
