date,total_value
2024-09-06,1971932.6493116736
2024-09-09,1973679.0228426158
2024-09-10,1980026.6492615447
2024-09-11,1972961.1126782135
2024-09-12,2012154.857117434
2024-09-13,2010835.0088223917
2024-09-16,2011789.8406605357
2024-09-17,2013723.4795253014
2024-09-18,2007868.5746127868
2024-09-19,2005578.4872168265
2024-09-20,2031163.9609579758
2024-09-23,2047706.8064761902
2024-09-24,2048744.5583568923
2024-09-25,2050167.7667131543
2024-09-26,2073969.4587997422
2024-09-27,2079163.7891619536
2024-09-30,2060225.0060698215
2024-10-01,2060003.9853274655
2024-10-03,2018781.9402666446
2024-10-04,1998614.5606418243
2024-10-07,1978657.2519933067
2024-10-08,1994777.1376980238
2024-10-09,1997481.2698185304
2024-10-10,1994898.2018068677
2024-10-11,1997053.9016022764
2024-10-14,2006340.1690833247
2024-10-15,1998065.8971569352
2024-10-16,1990240.3145361652
2024-10-17,1965316.9112717516
2024-10-18,1972713.0906047996
2024-10-21,1956377.3699459082
2024-10-22,1926497.4293504257
2024-10-23,1922206.1337456228
2024-10-24,1916354.3483486846
2024-10-25,1886490.4237124228
2024-10-28,1901089.7660488377
2024-10-29,1910669.813097178
2024-10-30,1905718.0251269045
2024-10-31,1898443.5026698762
2024-11-01,1907203.328603107
2024-11-04,1881854.0234832917
2024-11-05,1898577.531676868
2024-11-06,1922240.21520993
2024-11-07,1898104.857395603
2024-11-08,1894674.959596399
2024-11-11,1886854.657629074
2024-11-12,1864215.4714067525
2024-11-13,1836349.4838782076
2024-11-14,1831637.558365842
2024-11-18,1825730.64453879
2024-11-19,1828640.4649645765
2024-11-21,1805826.7872029706
2024-11-22,1847161.618452119
2024-11-25,1866973.180929059
2024-11-26,1862690.7207962659
2024-11-27,1870536.5424581817
2024-11-28,1842207.5612896634
2024-11-29,1857208.416929633
2024-12-02,1869414.5047845151
2024-12-03,1882441.8374410183
2024-12-04,1880050.6424230398
2024-12-05,1895109.2711962992
2024-12-06,1894966.9142402913
2024-12-09,1889689.8943087729
2024-12-10,1888775.251310749
2024-12-11,1895287.283307042
2024-12-12,1886950.740883975
2024-12-13,1898764.8016455818
2024-12-16,1891674.6988346328
2024-12-17,1864813.0313127062
2024-12-18,1855867.0590054998
2024-12-19,1843367.0069868346
2024-12-20,1812233.4763290796
2024-12-23,1820715.2619697812
2024-12-24,1817706.9238976566
2024-12-26,1823776.6607480508
2024-12-27,1826452.4407440268
2024-12-30,1818478.5788439948
2024-12-31,1820342.0674055037
2025-01-01,1826680.4403067979
2025-01-02,1866788.584306573
2025-01-03,1859448.0842765071
2025-01-06,1827216.812575032
2025-01-07,1834781.230121213
2025-01-08,1832531.9798446584
2025-01-09,1821923.4078979488
2025-01-10,1809436.2518553576
2025-01-13,1774477.2321454005
2025-01-14,1786536.4348195214
2025-01-15,1788472.2860356565
2025-01-16,1798627.234558326
2025-01-17,1800248.4634498262
2025-01-20,1810504.4362565032
2025-01-21,1789162.2295240404
2025-01-22,1794804.9333084035
2025-01-23,1805250.2434738397
2025-01-24,1794647.5822605302
2025-01-27,1767910.2424177562
2025-01-28,1769217.9158603828
2025-01-29,1793224.4997885663
2025-01-30,1801493.2747734787
2025-01-31,1829639.8740222582
2025-02-01,1827953.3086548857
2025-02-03,1818393.8131058195
2025-02-04,1840431.4165827467
2025-02-05,1839769.156540951
2025-02-06,1829127.7084185237
2025-02-07,1834269.9155089643
2025-02-10,1815936.583069864
2025-02-11,1786651.8737058998
2025-02-12,1788416.4974473526
2025-02-13,1789568.8303802973
2025-02-14,1770654.1153176203
2025-02-17,1778745.249478755
2025-02-18,1779455.6386051315
2025-02-19,1778016.1182461996
2025-02-20,1784880.499798802
2025-02-21,1775388.2478990487
2025-02-24,1758171.8419165257
2025-02-25,1752788.6139690315
2025-02-27,1750428.9323508213
2025-02-28,1709354.2235922797
2025-03-03,1716139.3545060495
2025-03-04,1711744.1728472325
2025-03-05,1740039.7912587482
2025-03-06,1759560.493633099
2025-03-07,1756309.5762038028
2025-03-10,1744136.8298159533
2025-03-11,1742283.5344490753
2025-03-12,1735529.5084088726
2025-03-13,1727231.698884094
2025-03-17,1737519.7276622388
2025-03-18,1737618.544036083
2025-03-19,1771698.4425169476
2025-03-20,1792047.3913034704
2025-03-21,1806261.4756099898
2025-03-24,1825526.150461748
2025-03-25,1822477.3043221983
2025-03-26,1810399.6937988864
2025-03-27,1823060.8921968779
2025-03-28,1813739.5579498329
2025-04-01,1799508.5140505165
2025-04-02,1811944.939682051
2025-04-03,1810648.8274381307
2025-04-04,1772099.0972715206
2025-04-07,1716520.904678601
2025-04-08,1751279.0913356356
2025-04-09,1742055.9115231475
2025-04-11,1777455.8785158808
2025-04-15,1814450.2465302732
2025-04-16,1825810.4407075474
2025-04-17,1845787.420307267
2025-04-21,1870098.4753309193
2025-04-22,1866567.1945527894
2025-04-23,1885505.3620376522
2025-04-24,1884174.214100888
2025-04-25,1862029.0079835812
2025-04-28,1880174.323324366
2025-04-29,1878467.8851120712
2025-04-30,1874590.6413750504
2025-05-02,1866048.3314101703
2025-05-05,1882721.7740244505
2025-05-06,1873085.4960233795
2025-05-07,1874726.7168720756
2025-05-08,1859041.752415293
2025-05-09,1846624.0739804988
2025-05-12,1914278.777991699
2025-05-13,1895447.0559749843
2025-05-14,1908315.7773131637
2025-05-15,1940256.0168499409
2025-05-16,1940486.4323043134
2025-05-19,1937378.7061393443
2025-05-20,1916306.1732386455
2025-05-21,1927237.9049877736
2025-05-22,1910734.3446452953
2025-05-23,1930411.4383594356
2025-05-26,1944202.9787537644
2025-05-27,1933604.2930878343
2025-05-28,1925817.0727515188
2025-05-29,1932499.8858287097
2025-05-30,1918691.419579033
2025-06-02,1917031.6317092709
2025-06-03,1903555.7305998714
2025-06-04,1906546.4545274014
2025-06-05,1913130.9833791505
2025-06-06,1936478.9351058954
2025-06-09,1950344.7450598998
2025-06-10,1956259.7670925965
2025-06-11,1959353.3858557404
2025-06-12,1937924.2581884705
2025-06-13,1927970.8915411518
2025-06-16,1948106.1614732416
2025-06-17,1938371.5416377163
2025-06-18,1935818.1160946803
2025-06-19,1932340.8706087375
2025-06-20,1952071.5987966529
2025-06-23,1947132.6106483329
2025-06-24,1954818.4686532905
2025-06-25,1968866.6123467458
2025-06-26,1988903.0591148403
2025-06-27,1995034.9648426005
2025-06-30,1990111.785651856
2025-07-01,1990267.7216403864
2025-07-02,1987613.037605011
2025-07-03,1984129.2076831
2025-07-04,1985243.1226050972
